"","c.Inf..33.8716306708252..33.7665809148426..33.6841572569265.."
"502",24.0164545377537
"503",23.9901200198747
"504",23.9876347553834
"505",23.9843872060282
"506",23.9715137486186
"507",23.9679998482067
"508",23.9580662578221
"509",23.9553867112731
"510",23.9527351889525
"511",23.9504131880438
"512",23.9493194891203
"513",23.9487399250961
"514",23.9362437078257
"515",23.933619087027
"516",23.9270806784424
"517",23.9253638220583
"518",23.9197905426369
"519",23.917413992328
"520",23.9169265035202
"521",23.9163949215719
"522",23.915258701562
"523",23.9149147051108
"524",23.9136954060982
"525",23.9093371965891
"526",23.904408010023
"527",23.9027146337504
"528",23.9026748743492
"529",23.899230422016
"530",23.8965738214359
"531",23.8955551350754
"532",23.8911897950535
"533",23.8728101892504
"534",23.8723981721707
"535",23.8623651300507
"536",23.8599557030039
"537",23.8504027367567
"538",23.8433777019472
"539",23.8425467320478
"540",23.8321710946423
"541",23.8264051003853
"542",23.8189045004098
"543",23.8056995127254
"544",23.8029967579607
"545",23.8027701989493
"546",23.8024645542617
"547",23.8012072631805
"548",23.8009361860947
"549",23.7739595826383
"550",23.7734888806999
"551",23.7724387459921
"552",23.7723223041155
"553",23.7711778023608
"554",23.7620257475547
"555",23.7492126264008
"556",23.746053274145
"557",23.7350651018807
"558",23.7295404780422
"559",23.7266918641886
"560",23.7027309873072
"561",23.702246582838
"562",23.6982931080011
"563",23.6982070751258
"564",23.6968534314249
"565",23.696248440011
"566",23.6924265866187
"567",23.691104484193
"568",23.6896459427377
"569",23.6879508158799
"570",23.6867523757399
"571",23.675591569327
"572",23.6731301579316
"573",23.6715975476807
"574",23.6685727578667
"575",23.6668891466037
"576",23.6659385103794
"577",23.6655272967778
"578",23.6546647206473
"579",23.6461810226184
"580",23.6240761726339
"581",23.61720782886
"582",23.6166583298105
"583",23.6109694835801
"584",23.605083858211
"585",23.5996033553578
"586",23.5956839370814
"587",23.5952343711667
"588",23.5946893043196
"589",23.5737291025055
"590",23.5716088900999
"591",23.5620779904098
"592",23.5588548368687
"593",23.5573736128377
"594",23.5557304216272
"595",23.554218445631
"596",23.5502461649347
"597",23.550068264197
"598",23.5440161396216
"599",23.5339483706775
"600",23.5337241430505
"601",23.520344801261
"602",23.5171305397378
"603",23.4983852554918
"604",23.4835692485614
"605",23.4740709792078
"606",23.4730325155042
"607",23.4615161939711
"608",23.4553988071503
"609",23.4546016363646
"610",23.4535172088739
"611",23.4531116573503
"612",23.4508789670156
"613",23.4498799856174
"614",23.4429947904749
"615",23.4420681029244
"616",23.441362744617
"617",23.4395885426338
"618",23.4288856600039
"619",23.4271711665754
"620",23.4163539907883
"621",23.4145031810542
"622",23.410591935476
"623",23.4062535275866
"624",23.4028487444688
"625",23.3919128004434
"626",23.3894194279825
"627",23.3753728697994
"628",23.3737090905367
"629",23.3735318181206
"630",23.3733865083784
"631",23.3712065587704
"632",23.349352461239
"633",23.3477858391216
"634",23.3469165945338
"635",23.3422927707231
"636",23.3408344727824
"637",23.3395678710236
"638",23.3376851880684
"639",23.3358375099078
"640",23.3346664784125
"641",23.3340177985474
"642",23.3333171768765
"643",23.3285283604469
"644",23.3178407620443
"645",23.3095364878891
"646",23.2961519135007
"647",23.2959676595394
"648",23.2909077649696
"649",23.2773889276891
"650",23.2714206227759
"651",23.2688543336277
"652",23.2680759735274
"653",23.2653368245265
"654",23.2644234171758
"655",23.2529001115838
"656",23.2508747228502
"657",23.2499955055029
"658",23.2443044953934
"659",23.2442985265341
"660",23.2406527496341
"661",23.2388054035555
"662",23.2365951913459
"663",23.2212489200849
"664",23.2206634756277
"665",23.2089752269745
"666",23.2012472557205
"667",23.1941121142605
"668",23.1919135757214
"669",23.1918500799312
"670",23.1915288919335
"671",23.1871193711604
"672",23.1869785494577
"673",23.1819535283272
"674",23.1812980219525
"675",23.1766801864448
"676",23.1708445567643
"677",23.1678789423313
"678",23.1601293682074
"679",23.15995221969
"680",23.1586690990592
"681",23.1577148032084
"682",23.1560064225297
"683",23.1283669720801
"684",23.1256964995942
"685",23.1243749707548
"686",23.1174561986746
"687",23.1171599997812
"688",23.1170135233523
"689",23.1134470948543
"690",23.112929293918
"691",23.1128782451978
"692",23.1103524152844
"693",23.110328191073
"694",23.1086699599811
"695",23.104626621611
"696",23.100360055133
"697",23.0951811777571
"698",23.0935923715291
"699",23.0921506802496
"700",23.0899650412129
"701",23.0759898932968
"702",23.0733212178722
"703",23.0728961692249
"704",23.0712750736373
"705",23.0691809694397
"706",23.0634735310085
"707",23.0579557499397
"708",23.051221584567
"709",23.044672034705
"710",23.038627378498
"711",23.0352703015371
"712",23.0262189613063
"713",23.0223946315978
"714",23.010920243958
"715",23.0095705450481
"716",23.0031623966014
"717",23.0021761474459
"718",22.9933071443696
"719",22.9922281587375
"720",22.9718760005189
"721",22.9711083579152
"722",22.9687408818981
"723",22.9647050391382
"724",22.9642913196909
"725",22.9592137315587
"726",22.9552083663677
"727",22.9538860485847
"728",22.9456249113527
"729",22.9399754971116
"730",22.9391013113002
"731",22.9341587167468
"732",22.9319344684419
"733",22.9300592385109
"734",22.9238031250999
"735",22.9217065527339
"736",22.9207132172465
"737",22.9118225982058
"738",22.9115879371509
"739",22.9105513576336
"740",22.9084914609412
"741",22.9076193647221
"742",22.9066930081547
"743",22.9058182824229
"744",22.9032055225795
"745",22.8974184876305
"746",22.8912838256134
"747",22.8896792466005
"748",22.8865830357151
"749",22.8828759490074
"750",22.8754704958206
"751",22.8708325861515
"752",22.8692411178926
"753",22.8671982996217
"754",22.8660104976933
"755",22.8644699589951
"756",22.8475594147296
"757",22.8475109009283
"758",22.8439645620995
"759",22.8391954131083
"760",22.8358028954002
"761",22.8353668288835
"762",22.8295864486867
"763",22.8273522343507
"764",22.8270765240347
"765",22.8268935815544
"766",22.8255980764212
"767",22.8146209971543
"768",22.8037729869642
"769",22.7986710890067
"770",22.7973279223348
"771",22.7923999576166
"772",22.7902053695207
"773",22.7895628676777
"774",22.7788664238276
